년도,월,도로명,평일 평균 교통량,평일 평균 속도,일요일(휴일포함),월요일,화요일,수요일,목요일,금요일,토요일
2024,08,동부간선도로,135267,49.6,60.5,51.7,49.8,48.3,50.4,48.1,51
2024,09,동부간선도로,133786,48.1,58,50.4,47.8,47.3,48.6,46.2,50.6
2024,10,동부간선도로,134608,51.3,58.6,54.6,50.5,51.3,52.3,47.9,47.5
2024,11,동부간선도로,136486,54.4,56,55.1,53.2,55.4,57.3,51.8,48.1
2024,12,동부간선도로,137600,53.1,61.9,57.5,54.7,55.5,54.2,53.6,54.9
2024,01,북부간선도로,105543,50.7,59,52.5,52.9,50.1,50.6,46.7,47.6
2024,02,북부간선도로,106740,44.5,54.2,45.1,47.9,42.4,44.5,42.2,47.3
2024,03,북부간선도로,110155,46.5,54.9,48.6,48.4,48.1,46.3,41,47
2024,04,북부간선도로,110745,43.8,52.9,46.5,42.5,46.8,43.6,40,40.8
2024,05,북부간선도로,111202,43.6,48.3,47.2,43.5,46.5,43.6,39.4,38.8
2024,06,북부간선도로,110358,43.5,52.1,47.8,45.4,43.2,43.1,37.8,41.9
2024,07,북부간선도로,106821,43.4,50.4,45.6,44.5,45.1,41,39.4,43.3
2024,08,북부간선도로,109396,40.4,50.2,43.5,41.1,40,41.4,36.7,42.1
2024,09,북부간선도로,109383,39.8,50,42.7,39.6,39.7,40.4,36.4,44.4
2024,10,북부간선도로,111711,41.4,49.5,44.8,40.5,41.3,42.4,38,39.8
2024,11,북부간선도로,111392,44.1,48,44.5,43.5,47.2,46.8,39.8,39.1
2024,12,북부간선도로,109798,46.8,58,48.3,46.9,47.3,46.3,45,49.8
2024,01,분당수서로,128232,49,64.5,51.2,52.6,47.3,48.4,44.8,52.2
2024,02,분당수서로,130276,44.1,61.9,44.6,46.8,42.5,44.6,41.1,50.8
2024,03,분당수서로,135172,45.8,60.7,48.8,47.1,47.3,44.6,41,51.8
2024,04,분당수서로,136940,44.4,60.5,47.3,43.5,47.9,43.3,40.5,47.5
2024,05,분당수서로,135772,44.6,56.5,47.6,42.8,49,44.3,40.8,46.3
2024,06,분당수서로,137633,44.2,61.2,48.2,44.9,43.9,42.5,41.3,48.5
2024,07,분당수서로,131798,45.3,60.9,47.5,45.4,46.7,45.2,40.7,50.7
2024,08,분당수서로,134295,43.2,63,44.9,43.6,43,42.2,42.7,52.3
2024,09,분당수서로,135803,41.9,58.2,45,42.2,40.9,42.5,38.9,51.2
2024,10,분당수서로,135935,42.7,57.3,47.4,39.5,43.6,42.4,40.6,47.2
2024,11,분당수서로,130875,43.7,50.4,45,41.8,44.1,47.6,40.7,43.2
2024,12,분당수서로,131552,43.1,60.8,45.2,44.1,42.9,41.3,41.4,49.8
2024,01,올림픽대로,234155,51,66.3,53.2,53,50.1,51.1,47.6,53.9
2024,02,올림픽대로,241418,46.5,63.5,47.4,49.2,44.9,46.7,43.9,53.7
2024,03,올림픽대로,247918,50.9,63.1,52.8,52.5,52.7,49.4,47.1,55.2
2024,04,올림픽대로,249456,48,63.3,51.2,46.1,48.9,47.9,45.9,50.3
2024,05,올림픽대로,249369,48.3,57.9,51.9,47.5,51,47.8,45.2,46.8
2024,06,올림픽대로,250002,45.6,60.4,49.7,46,44.6,44.7,42.6,49
2024,07,올림픽대로,238280,45.6,60.9,47.9,45,46.7,44.9,42.5,51.7
2024,08,올림픽대로,236636,43.3,61.4,45.6,42.7,41.7,44.2,42.5,51
2024,09,올림픽대로,244289,42.4,58.1,44.7,41.7,40.8,43.7,40.7,51.2
2024,10,올림픽대로,242133,44.3,56.8,47.8,42.9,44.6,44.6,42,46
2024,11,올림픽대로,242707,46.6,53.7,47.9,44.7,47.3,50.7,43.2,45
2024,12,올림픽대로,243450,46.8,62.1,49.7,46.9,47.1,44.7,45.7,52.9
2024,01,강남순환로,147126,83,88.8,84.3,83.9,82.6,82.5,81.1,83.9
2024,02,강남순환로,151271,82.3,87.5,81.5,83.7,82.4,81.7,81.1,84.4
2024,03,강남순환로,150597,83.4,89.2,84.1,84,83.1,82.8,82.4,84.6
2024,04,강남순환로,151858,82.8,89.4,83.1,82.4,83.5,82.7,81.7,82.5
2024,05,강남순환로,155419,82.1,87.4,83.4,81.4,83.6,81.9,80.4,80.5
2024,06,강남순환로,157683,81.7,89.4,83.1,81.9,81.4,81.6,79.8,82.7
2024,07,강남순환로,152672,82.3,89.4,83.5,82.3,82.5,81.9,80.7,84.5
2024,08,강남순환로,159100,81,89.4,82.5,80.7,80.1,81.1,80.6,83.9
2024,09,강남순환로,163641,79.9,87.1,80.9,80,78.5,80.8,78.5,84
2024,10,강남순환로,164100,80.5,87.6,81.9,80.2,80.1,79.3,80.2,80.7
2024,11,강남순환로,159451,80.3,87.2,81.8,80.2,78,81.8,79.1,79.2
2024,12,강남순환로,157585,81.8,89.2,83.1,81.1,81.6,81.6,81.3,83.5
